FechaHora,Usuario,IP,MAC,PON_Serial,Modelo,VLAN,SSID_2G,SSID_5G,Resultado,Detalles
2026-09-04 17:33:10,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,127,Denuevo,Denuevo_5G,EXITO,VLAN 127: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-04 17:38:50,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,123,Denuevo,Denuevo_5G,EXITO,VLAN 123: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-04 17:50:14,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,123,Prueba de wifi,Prueba de wifi_5G,EXITO,VLAN 123: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-04 17:50:39,laura,3.3.2.21,4c:46:d1:e4:b1:82,VSOL00E4B181,VSOLVD64,123,Prueba de wifi,Prueba de wifi_5G,EXITO (Liberada),VLAN 123 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 10:55:38,admin,3.3.12.82,,4c46d1-4c46d1e3e581,V2804AX30-H,2005,JA express_2.4G,JA express_5G,EXITO,VLAN 2005: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 10:55:50,laura,3.3.12.82,4c:46:d1:e3:e5:82,VSOL00E3E581,VSOLVD64,2005,JA express_2.4G,JA express_5G,EXITO (Liberada),VLAN 2005 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 12:14:22,admin,3.3.5.84,,4c46d1-4c46d1e3dd41,V2804AX30-H,449,HAYATI_2.4G,HAYATI_5G,EXITO,VLAN 449: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 12:15:04,laura,3.3.5.84,4c:46:d1:e3:dd:42,VSOL00E3DD41,VSOLVD64,449,HAYATI_2.4G,HAYATI_5G,EXITO (Liberada),VLAN 449 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 12:30:33,admin,3.3.3.75,,4c46d1-4c46d1e3bd71,V2804AX30-H,1044,SOFIA_2.4G,SOFIA_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 12:30:55,laura,3.3.3.75,4c:46:d1:e3:bd:72,VSOL00E3BD71,VSOLVD64,1044,SOFIA_2.4G,SOFIA_5G,EXITO (Liberada),VLAN 1044 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 12:36:39,admin,3.3.3.76,,4c46d1-4c46d1e43e61,V2804AX30-H,1044,Aries_2.4G,Aries_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 12:36:44,laura,3.3.3.76,4c:46:d1:e4:3e:62,VSOL00E43E61,VSOLVD64,1044,Aries_2.4G,Aries_5G,EXITO (Liberada),VLAN 1044 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 12:50:03,admin,3.3.9.27,,4c46d1-4c46d1e4bc59,V2804AX30-H,200,Ismael_2.4G,Ismael_5G,EXITO,VLAN 200: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 12:53:03,laura,3.3.9.27,4c:46:d1:e4:bc:5a,VSOL00E4BC59,VSOLVD64,200,Ismael_2.4G,Ismael_5G,EXITO (Liberada),VLAN 200 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 13:55:01,admin,3.3.12.83,,4c46d1-4c46d1e46b41,V2804AX30-H,2020,Casajoks_2.4G,Casajoks_5G,EXITO,VLAN 2020: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 13:55:56,laura,3.3.12.83,4c:46:d1:e4:6b:42,VSOL00E46B41,VSOLVD64,2020,Casajoks_2.4G,Casajoks_5G,EXITO (Liberada),VLAN 2020 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 14:06:54,admin,3.3.3.78,,4c46d1-4c46d1e3e069,V2804AX30-H,1035,NATHASHA_2.4G,NATHASHA_5G,EXITO,VLAN 1035: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 14:06:59,laura,3.3.3.78,4c:46:d1:e3:e0:6a,VSOL00E3E069,VSOLVD64,1035,NATHASHA_2.4G,NATHASHA_5G,EXITO (Liberada),VLAN 1035 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 14:37:56,admin,3.3.7.106,,4c46d1-4c46d1e3bc91,V2804AX30-H,824,Cauchera MT_2.4G,Cauchera MT_5G,EXITO,VLAN 824: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 14:38:16,laura,3.3.7.106,4c:46:d1:e3:bc:92,VSOL00E3BC91,VSOLVD64,824,Cauchera MT_2.4G,Cauchera MT_5G,EXITO (Liberada),VLAN 824 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 15:09:04,admin,3.3.5.85,,4c46d1-4c46d1e47e69,V2804AX30-H,443,Maryuri_2.4G,Maryuri_5G,EXITO,VLAN 443: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 15:09:13,laura,3.3.5.85,4c:46:d1:e4:7e:6a,VSOL00E47E69,VSOLVD64,443,Maryuri_2.4G,Maryuri_5G,EXITO (Liberada),VLAN 443 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 15:13:19,admin,3.3.3.79,,4c46d1-4c46d1e4aa11,V2804AX30-H,1044,Kushnet_2.4G,Kushnet_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 15:13:29,laura,3.3.3.79,4c:46:d1:e4:aa:12,VSOL00E4AA11,VSOLVD64,1044,Kushnet_2.4G,Kushnet_5G,EXITO (Liberada),VLAN 1044 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 15:43:32,admin,3.3.,,,VSOL,200,Princesa.1963_2.4G,Princesa.1963_5G,ERROR,La ONU en 3.3. no responde a peticiones HTTP.
2026-09-15 15:44:20,admin,3.3.9.28,,4c46d1-4c46d1e3fce1,V2804AX30-H,200,Princesa.1963_2.4G,Princesa.1963_5G,EXITO,VLAN 200: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 15:44:27,laura,3.3.9.28,4c:46:d1:e3:fc:e2,VSOL00E3FCE1,VSOLVD64,200,Princesa.1963_2.4G,Princesa.1963_5G,EXITO (Liberada),VLAN 200 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 16:19:17,admin,3.3.3.80,,4c46d1-4c46d1e3d609,V2804AX30-H,200,Cocodrilo_2.4G,Cocodrilo_5G,EXITO,VLAN 200: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 16:21:35,laura,3.3.3.80,4c:46:d1:e3:d6:0a,VSOL00E3D609,VSOLVD64,200,Cocodrilo_2.4G,Cocodrilo_5G,EXITO (Liberada),VLAN 200 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 16:38:58,admin,3.3.5.86,,4c46d1-4c46d1e430e9,V2804AX30-H,480,Kysbel_2.4G,Kysbel_5G,EXITO,VLAN 480: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 16:39:17,laura,3.3.5.86,4c:46:d1:e4:30:ea,VSOL00E430E9,VSOLVD64,480,Kysbel_2.4G,Kysbel_5G,EXITO (Liberada),VLAN 480 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 17:06:17,admin,3.3.5.87,,4c46d1-4c46d1e44c51,V2804AX30-H,465,Elohim_2.4G,Elohim_5G,EXITO,VLAN 465: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 17:06:25,laura,3.3.5.87,,VSOL00E44C51,VSOLVD64,465,Elohim_2.4G,Elohim_5G,EXITO (Liberada),VLAN 465 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 17:09:09,admin,3.3.7.106,,4c46d1-4c46d1e3b389,V2804AX30-H,824,Arianna_2.4G,Arianna_5G,EXITO,VLAN 824: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 17:09:21,laura,3.3.7.106,,VSOL00E3B389,VSOLVD64,824,Arianna_2.4G,Arianna_5G,EXITO (Liberada),VLAN 824 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 17:19:45,admin,3.3.12.85,,4c46d1-4c46d1e3e699,V2804AX30-H,2007,Victoria_2.4G,Victoria_5G,EXITO,VLAN 2007: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 17:20:00,laura,3.3.12.85,4c:46:d1:e3:e6:9a,VSOL00E3E699,VSOLVD64,2007,Victoria_2.4G,Victoria_5G,EXITO (Liberada),VLAN 2007 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-15 18:45:54,admin,3.3.18.23,,4c46d1-4c46d1e48389,V2804AX30-H,605,Carol_2.4G,Carol_5G,EXITO,VLAN 605: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-15 18:46:05,laura,3.3.18.23,4c:46:d1:e4:83:8a,VSOL00E48389,VSOLVD64,605,Carol_2.4G,Carol_5G,EXITO (Liberada),VLAN 605 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 09:48:47,admin,3.3.8.96,,4c46d1-4c46d1e3fe11,V2804AX30-H,605,ARGENIS COVA_2.4G,ARGENIS COVA_5G,EXITO,VLAN 605: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 09:48:54,laura,3.3.8.96,4c:46:d1:e3:fe:12,VSOL00E3FE11,VSOLVD64,605,ARGENIS COVA_2.4G,ARGENIS COVA_5G,EXITO (Liberada),VLAN 605 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 09:53:28,admin,3.3.8.96,,,VSOL,3007,ARGENIS COVA_2.4G,ARGENIS COVA_5G,ERROR,La ONU en 3.3.8.96 no responde a peticiones HTTP.
2026-09-16 09:54:30,admin,3.3.8.96,,4c46d1-4c46d1e3fe11,V2804AX30-H,3007,ARGENIS COVA_2.4G,ARGENIS COVA_5G,EXITO,VLAN 3007: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 10:01:55,admin,3.3.18.23,,4c46d1-4c46d1e3afd1,V2804AX30-H,629,Familia VP_2.4G,Familia VP_5G,EXITO,VLAN 629: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 10:02:31,laura,3.3.18.23,4c:46:d1:e3:af:d2,VSOL00E3AFD1,VSOLVD64,629,Familia VP_2.4G,Familia VP_5G,EXITO (Liberada),VLAN 629 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 10:16:37,admin,3.3.7.106,,4c46d1-4c46d1e4bc89,V2804AX30-H,824,mariorivera_2.4G,mariorivera_5G,EXITO,VLAN 824: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 10:16:47,laura,3.3.7.106,4c:46:d1:e4:bc:8a,VSOL00E4BC89,VSOLVD64,824,mariorivera_2.4G,mariorivera_5G,EXITO (Liberada),VLAN 824 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 10:25:29,admin,3.3.3.81,,4c46d1-4c46d1e3b039,V2804AX30-H,1008,Familia Borges_2.4G,Familia Borges_5G,EXITO,VLAN 1008: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 10:25:39,laura,3.3.3.81,4c:46:d1:e3:b0:3a,VSOL00E3B039,VSOLVD64,1008,Familia Borges_2.4G,Familia Borges_5G,EXITO (Liberada),VLAN 1008 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 10:33:18,admin,3.3.3.82,,4c46d1-4c46d1e4c191,V2804AX30-H,1044,El koki_2.4G,El koki_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 10:33:30,laura,3.3.3.82,4c:46:d1:e4:c1:92,VSOL00E4C191,VSOLVD64,1044,El koki_2.4G,El koki_5G,EXITO (Liberada),VLAN 1044 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 10:43:14,admin,3.3.12.85,,4c46d1-4c46d1e3c781,V2804AX30-H,2006,La niña_2.4G,La niña_5G,EXITO,VLAN 2006: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 10:43:51,laura,3.3.12.85,,VSOL00E3C781,VSOLVD64,2006,La niña_2.4G,La niña_5G,EXITO (Liberada),VLAN 2006 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 10:53:32,admin,3.3.12.86,,4c46d1-123454C46D1E41021,V2804AX30-H,2006,hospital Catia 2_2.4G,hospital Catia 2_5G,EXITO,VLAN 2006: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 10:54:46,laura,3.3.12.86,4c:46:d1:e4:10:22,VSOL00E41021,VSOLVD64,2006,hospital Catia 2_2.4G,hospital Catia 2_5G,EXITO (Liberada),VLAN 2006 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 11:12:40,admin,3.3.18.24,,4c46d1-4c46d1e4b691,V2804AX30-H,629,Martina_2.4G,Martina_5G,EXITO,VLAN 629: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 11:13:13,laura,3.3.18.24,,VSOL00E4B691,VSOLVD64,629,Martina_2.4G,Martina_5G,EXITO (Liberada),VLAN 629 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 11:35:05,laura,3.3.18.24,,VSOL00E4B691,VSOLVD64,629,Martina_2.4G,Martina_5G,EXITO (Liberada),VLAN 629 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 11:37:18,admin,3.3.6.5,,4c46d1-4c46d1e3d929,V2804AX30-H,701,Carmen_2.4G,Carmen_5G,EXITO,VLAN 701: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 11:37:29,laura,3.3.6.5,,VSOL00E3D929,VSOLVD64,701,Carmen_2.4G,Carmen_5G,EXITO (Liberada),VLAN 701 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 11:42:53,admin,3.3.14.128,,4c46d1-4c46d1e3a8f1,V2804AX30-H,575,Fabiana_2.4G,Fabiana_5G,EXITO,VLAN 575: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 11:43:00,laura,3.3.14.128,,VSOL00E3A8F1,VSOLVD64,575,Fabiana_2.4G,Fabiana_5G,EXITO (Liberada),VLAN 575 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 11:45:15,admin,3.3.12.87,,4c46d1-4c46d1e40149,V2804AX30-H,2002,ezequiel_2.4G,ezequiel_5G,EXITO,VLAN 2002: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 11:45:50,laura,3.3.12.87,,VSOL00E40149,VSOLVD64,2002,ezequiel_2.4G,ezequiel_5G,EXITO (Liberada),VLAN 2002 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 11:55:46,admin,3.3.3.83,,4c46d1-4c46d1e43d91,V2804AX30-H,1044,Abreu_2.4G,Abreu_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 11:55:54,laura,3.3.3.83,4c:46:d1:e4:3d:92,VSOL00E43D91,VSOLVD64,1044,Abreu_2.4G,Abreu_5G,EXITO (Liberada),VLAN 1044 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 12:12:21,admin,3.3.5.87,,4c46d1-4c46d1e45231,V2804AX30-H,473,Zaid_2.4G,Zaid_5G,EXITO,VLAN 473: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 12:12:26,laura,3.3.5.87,4c:46:d1:e4:52:32,VSOL00E45231,VSOLVD64,473,Zaid_2.4G,Zaid_5G,EXITO (Liberada),VLAN 473 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 12:23:41,admin,3.3.3.84.,,,VSOL,1044,tangamandapio_2.4G,tangamandapio_5G,ERROR,La ONU en 3.3.3.84. no responde a peticiones HTTP.
2026-09-16 12:25:01,admin,3.3.3.84.,,,VSOL,1044,tangamandapio_2.4G,tangamandapio_5G,ERROR,La ONU en 3.3.3.84. no responde a peticiones HTTP.
2026-09-16 12:25:15,admin,3.3.3.84.,,,VSOL,1044,tangamandapio_2.4G,tangamandapio_5G,ERROR,La ONU en 3.3.3.84. no responde a peticiones HTTP.
2026-09-16 12:42:04,admin,3.3.3.85,,4c46d1-4c46d1e48719,V2804AX30-H,100,Zeus_2.4G,Zeus_5G,EXITO,VLAN 100: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 12:42:45,laura,3.3.3.85,,VSOL00E48719,VSOLVD64,100,Zeus_2.4G,Zeus_5G,EXITO (Liberada),VLAN 100 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 12:45:11,admin,3.3.3.85,,4c46d1-4c46d1e48719,V2804AX30-H,1044,Zeus_2.4G,Zeus_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 13:21:39,admin,3.3.8.97,,4c46d1-4c46d1e400f1,V2804AX30-H,3007,KIKE1974 _2.4G,KIKE1974_5G,EXITO,VLAN 3007: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 13:21:45,laura,3.3.8.97,4c:46:d1:e4:00:f2,VSOL00E400F1,VSOLVD64,3007,KIKE1974 _2.4G,KIKE1974_5G,EXITO (Liberada),VLAN 3007 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 13:56:25,admin,3.3.3.86,,4c46d1-4c46d1e40cf1,V2804AX30-H,1044,Martinez M_2.4G,Martinez M_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 13:56:31,laura,3.3.3.86,4c:46:d1:e4:0c:f2,VSOL00E40CF1,VSOLVD64,1044,Martinez M_2.4G,Martinez M_5G,EXITO (Liberada),VLAN 1044 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 14:00:08,admin,3.3.12.88,,4c46d1-4c46d1e479d1,V2804AX30-H,2009,anyerbis_2.4G,anyerbis_5G,EXITO,VLAN 2009: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 14:00:13,laura,3.3.12.88,4c:46:d1:e4:79:d2,VSOL00E479D1,VSOLVD64,2009,anyerbis_2.4G,anyerbis_5G,EXITO (Liberada),VLAN 2009 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 14:31:46,admin,3.3.12.89,,4c46d1-4c46d1e3a631,V2804AX30-H,2020,Creaciones Winyor_2.4G,Creaciones Winyor_5G,EXITO,VLAN 2020: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 14:32:02,laura,3.3.12.89,4c:46:d1:e3:a6:32,VSOL00E3A631,VSOLVD64,2020,Creaciones Winyor_2.4G,Creaciones Winyor_5G,EXITO (Liberada),VLAN 2020 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 14:40:41,admin,3.3.3.87,,4c46d1-4c46d1e3ffe9,V2804AX30-H,2020,Yeferson_2.4G,Yeferson_5G,EXITO,VLAN 2020: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 14:41:05,laura,3.3.3.87,4c:46:d1:e3:ff:ea,VSOL00E3FFE9,VSOLVD64,2020,Yeferson_2.4G,Yeferson_5G,EXITO (Liberada),VLAN 2020 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 14:46:41,admin,3.3.3.87,,4c46d1-4c46d1e3ffe9,V2804AX30-H,2020,Yeferson_2.4G,Yeferson_5G,EXITO,VLAN 2020: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 14:51:55,admin,3.3.3.88,,4c46d1-4c46d1e3e271,V2804AX30-H,1044,Aleko_2.4G,Aleko_5G,EXITO,VLAN 1044: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 14:52:01,laura,3.3.3.88,4c:46:d1:e3:e2:72,VSOL00E3E271,VSOLVD64,1044,Aleko_2.4G,Aleko_5G,EXITO (Liberada),VLAN 1044 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 14:59:03,admin,3.3.12.90,,4c46d1-4c46d1e3f3e1,V2804AX30-H,2005,los concha_2.4G,los concha_5G,EXITO,VLAN 2005: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-16 14:59:17,laura,3.3.12.90,4c:46:d1:e3:f3:e2,VSOL00E3F3E1,VSOLVD64,2005,los concha_2.4G,los concha_5G,EXITO (Liberada),VLAN 2005 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Rubpi.
2026-09-16 15:02:53,admin,3.3.14.130,,4c46d1-4c46d1e3b719,V2804AX30-H,536,Enyer_2.4G,Enyer_5G,EXITO,VLAN 536: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
